year,iso,mv,close,weight,weight_float
2003,ARE,30796,0.721708253,9.85E-04,3.60E-04
2004,ARE,78646,0.710197819,0.002118926,8.10E-04
2005,ARE,194278,0.713665815,0.004616057,0.00177405
2006,ARE,124386,0.723382421,0.002399598,8.99E-04
2007,ARE,207979,0.554397631,0.003321503,0.002115784
2008,ARE,107354.25,0.471858268,0.003240184,0.002407699
2009,ARE,138243.96,0.497771587,0.002890028,0.00210428
2010,ARE,131490.76,0.467073545,0.002388845,0.001852984
2011,ARE,93726.65,0.552938403,0.001958336,0.001216278
2012,ARE,101327.92,0.412002521,0.001837905,0.001461241
2013,ARE,180324.8,0.326820559,0.002790391,0.002474742
2014,ARE,201598.93,0.358777265,0.002984804,0.002518383
2015,ARE,195874.11,0.22297423,0.002944997,0.00303082
2016,ARE,213212.7638,0.17227897,0.003087163,0.003369835
2017,ARE,232103.89,0.28226766,0.002752438,0.002619752
2018,ARE,231377.4949,0.560263742,0.003154293,0.001820246
2019,ARE,246818.78,0.554128117,0.002831609,0.001694512
2020,ARE,294831.94,0.645734904,0.002893311,0.00138618
2021,ARE,494331,0.641856547,0.005121788,0.002314134
1999,ARG,55847.58,0.868084221,0.001627659,2.90E-04
2000,ARG,45839.34,0.93871021,0.001470011,1.15E-04
2001,ARG,33384,0.572357132,0.00123475,6.75E-04
2002,ARG,16571,0.619257837,7.25E-04,3.57E-04
2003,ARG,34994.62,0.65942888,0.001118979,5.01E-04
2004,ARG,40593.87,0.971352467,0.001093703,4.13E-05
2005,ARG,47590.3,0.718362929,0.001130748,4.27E-04
2006,ARG,51240.13,0.626569549,9.89E-04,5.00E-04
2007,ARG,57070.16,0.770248571,9.11E-04,2.99E-04
2008,ARG,39850.36,0.780112627,0.00120277,3.72E-04
2009,ARG,45744.93,0.747693074,9.56E-04,3.50E-04
2010,ARG,63909.79,0.714487076,0.001161075,4.83E-04
2011,ARG,43579.79,0.607416844,9.11E-04,4.97E-04
2012,ARG,34254.75,0.556878497,6.21E-04,3.72E-04
2013,ARG,53104.79,0.617489221,8.22E-04,4.14E-04
2014,ARG,60142.04,0.527448974,8.90E-04,5.54E-04
2015,ARG,56134.63,0.480491259,8.44E-04,5.81E-04
2016,ARG,63601.11614,0.344824706,9.21E-04,7.96E-04
2017,ARG,108740.05,0.367245039,0.00128951,0.001082032
2018,ARG,45986.05,0.42104233,6.27E-04,4.76E-04
2019,ARG,39393.54,0.429096501,4.52E-04,3.46E-04
2020,ARG,26219,0.457592231,2.57E-04,1.89E-04
2021,ARG,36716,0.472906295,3.80E-04,2.53E-04
1999,AUS,427835.36,0.247649727,0.012469118,0.012668466
2000,AUS,372794.35,0.19261616,0.011955053,0.012367877
2001,AUS,375130.79,0.220678552,0.013874696,0.01381257
2002,AUS,380087,0.261220815,0.016635383,0.015903349
2003,AUS,585529.69,0.306179329,0.018722747,0.017081182
2004,AUS,776402.76,0.334633279,0.020918292,0.018358105
2005,AUS,804014.82,0.323209181,0.01910344,0.017353519
2006,AUS,1095857.96,0.313065973,0.021140792,0.019662852
2007,AUS,1298315.04,0.304745674,0.020734579,0.020607632
2008,AUS,683871.56,0.283677896,0.020640723,0.020802494
2009,AUS,1261909.34,0.344399335,0.026380559,0.025074001
2010,AUS,1454490.57,0.393501968,0.026424311,0.023326493
2011,AUS,1198187.41,0.288502452,0.02503507,0.02474575
2012,AUS,1386873.96,0.101065323,0.02515538,0.030576119
2013,AUS,1365958.13,0.106208209,0.02113718,0.024889569
2014,AUS,1288708.34,0.102538968,0.019080171,0.02253175
2015,AUS,1187083.45,0.120155621,0.01784798,0.020798635
2016,AUS,1268493.507,0.13125333,0.018366849,0.021042282
2017,AUS,1508462.8,0.154597318,0.017888328,0.020054572
2018,AUS,1262800.27,0.161799818,0.017215339,0.018936472
2019,AUS,1487598.5,0.143641558,0.017066358,0.019615424
2020,AUS,1720556.18,0.177783027,0.016884549,0.018774662
2021,AUS,1596906,0.167746243,0.016545622,0.017371956
1999,AUT,33022.95,0.5612456,9.62E-04,5.70E-04
2000,AUT,29935.22,0.56584519,9.60E-04,5.34E-04
2001,AUT,25204.35,0.542370129,9.32E-04,5.45E-04
2002,AUT,33578.13,0.591386876,0.001469624,7.77E-04
2003,AUT,56522.45,0.579686902,0.001807347,9.99E-04
2004,AUT,87776.27,0.528434429,0.002364919,0.001470953
2005,AUT,132863,0.560510035,0.003156833,0.001862182
2006,AUT,192770.31,0.521027613,0.003718837,0.002411725
2007,AUT,236448.39,0.555233688,0.00377617,0.002400892
2008,AUT,76290,0.568069129,0.002302597,0.001399311
2009,AUT,117378,0.527707344,0.002453819,0.001680173
2010,AUT,126031.96,0.517617667,0.002289673,0.001607612
2011,AUT,85269.52,0.500354994,0.001781631,0.001236681
2012,AUT,106036.78,0.506051768,0.001923315,0.001284562
2013,AUT,117671.41,0.52578826,0.001820877,0.001137593
2014,AUT,96790.33,0.51492936,0.001433044,9.15E-04
2015,AUT,96079.38,0.489291041,0.001444568,9.77E-04
2016,AUT,120976.7299,0.488351876,0.001751654,0.001181911
2017,AUT,150645.99,0.436113688,0.001786458,0.00133587
2018,AUT,116802,0.497126961,0.001592323,0.001050813
2019,AUT,133098.22,0.492639964,0.001526959,0.001039788
2020,AUT,132083.25,0.513708102,0.001296189,8.52E-04
2021,AUT,155305,0.51741292,0.001609123,9.80E-04
1999,BEL,184135.51,0.481377414,0.005366568,0.003758515
2000,BEL,182480.52,0.483056738,0.005851924,0.003876191
2001,BEL,165843,0.426165585,0.006133917,0.004496337
2002,BEL,127556.56,0.435736898,0.005582807,0.004076387
2003,BEL,173552.62,0.437288617,0.005549474,0.004106186
2004,BEL,273247.42,0.451525045,0.00736199,0.005325895
2005,BEL,288481.06,0.448503467,0.006854327,0.005073751
2006,BEL,396167.93,0.448748854,0.007642691,0.005704348
2007,BEL,385552.94,0.416575855,0.006157425,0.005135381
2008,BEL,167218.34,0.48407179,0.005047011,0.00366358
2009,BEL,259768.58,0.470164218,0.005430533,0.004171421
2010,BEL,268726.29,0.465816053,0.004882058,0.00379586
2011,BEL,229320.85,0.528725476,0.004791457,0.003137039
2012,BEL,299517.14,0.456532411,0.005432698,0.003992202
2013,BEL,374325.59,0.410552334,0.005792408,0.004498196
2014,BEL,378525.79,0.405981505,0.005604322,0.004380464
2015,BEL,414556.38,0.458047317,0.006232918,0.004473966
2016,BEL,378144.2833,0.444375895,0.00547525,0.0040119
2017,BEL,437793.5223,0.408642442,0.005191639,0.004071315
2018,BEL,321093.543,0.471267421,0.004377362,0.003037276
2019,BEL,375250,0.453645135,0.004305026,0.003156835
2020,BEL,372634,0.434163583,0.003656816,0.002798274
2021,BEL,405426,0.429957241,0.004200639,0.003020874
1999,BRA,215665,0.716265371,0.006285484,0.002408348
2000,BRA,226152.31,0.639076309,0.007252424,0.003353993
2001,BRA,186237.61,0.635159709,0.006888238,0.003210298
2002,BRA,126761.53,0.688380111,0.00554801,0.002237194
2003,BRA,234560.04,0.610670231,0.007500232,0.003839666
2004,BRA,330346.58,0.717018858,0.008900388,0.003322056
2005,BRA,474646.88,0.655460146,0.011277638,0.005215298
2006,BRA,710247.45,0.634962942,0.01370177,0.006772108
2007,BRA,1369711.27,0.49197907,0.021874804,0.015886014
2008,BRA,591965.55,0.648424489,0.017866801,0.008837869
2009,BRA,1337247.68,0.58186741,0.027955528,0.016946576
2010,BRA,1545565.66,0.573538611,0.028078909,0.017429155
2011,BRA,1228936.23,0.475195968,0.025677539,0.018720997
2012,BRA,1227447.02,0.442631154,0.022263664,0.016778869
2013,BRA,1020455.33,0.539315129,0.015790782,0.009583885
2014,BRA,843894.2,0.528379428,0.012494406,0.007753636
2015,BRA,490534.11,0.520742178,0.007375255,0.004681512
2016,BRA,758558.918,0.517092227,0.010983373,0.006994633
2017,BRA,954715.1,0.511532598,0.011321629,0.007333724
2018,BRA,916824.39,0.520593557,0.012498764,0.007863333
