ISO,MIC_EXCHANGE_CODE
BM,24EX
GB,3579
DE,360T
ZA,4AXE
ZA,A2XX
FR,AACA
GR,AAPA
US,AATS
ES,ABAN
GR,ABFI
NL,ABNA
DK,ABSI
BG,ABUL
IN,ACEX
US,ACKF
US,ADVT
GB,AFDL
TH,AFET
MU,AFEX
NL,AFSA
NL,AFSE
NL,AFSI
NL,AFSL
NL,AFSO
NL,AFSX
ES,AGBP
GB,AIMX
KZ,AIXK
IT,AKIS
US,ALDP
ES,ALLT
DK,ALSI
ZA,ALTX
BE,ALXB
PT,ALXL
FR,ALXP
JO,AMNL
GB,AMPX
US,AMXO
GB,ANLP
GB,ANTS
GB,ANZL
AT,APAW
SG,APCL
SG,APEX
AU,APXL
FR,AQEA
FR,AQEU
US,AQUA
GB,AQXA
GB,AQXE
GB,ARAX
US,ARCD
GB,ARCH
US,ARCO
US,ARCX
IE,AREX
GB,ARIA
US,ARKX
GR,ASEX
US,ASMT
US,ASPI
US,ASPN
IN,ASTR
AU,ASXB
AU,ASXC
AU,ASXP
AU,ASXT
AU,ASXV
IT,ATFX
CY,ATHL
GB,ATLB
CY,ATLN
FR,AURB
FR,AURO
GB,AUTB
DE,AUTO
GB,AUTP
GB,AUTX
AU,AWBX
AU,AWEX
DE,BAAD
AR,BACE
HK,BAEP
HK,BAIP
JP,BAJD
BB,BAJM
GB,BALT
US,BAML
US,BAMX
GB,BANA
GB,BAPA
NL,BAPE
LT,BAPX
US,BARD
GB,BARK
US,BARL
GB,BARO
GB,BART
NL,BARU
US,BARX
HK,BASE
GB,BASI
HK,BASP
JP,BASX
GB,BATD
GB,BATE
GB,BATF
US,BATO
GB,BATP
US,BATS
US,BATY
IE,BBIE
IE,BBIS
US,BBOK
US,BBSF
GB,BBSI
GB,BBSX
ES,BBVA
US,BCDX
LU,BCEE
AR,BCFS
ES,BCMA
BR,BCMM
GB,BCRM
CY,BCSC
BY,BCSE
GB,BCSI
GB,BCSL
GB,BCXE
DE,BDEA
BG,BDSK
BE,BEAM
BG,BEBG
TH,BEEX
IT,BEIS
BE,BELB
BE,BELF
DE,BERA
DE,BERB
DE,BERC
HU,BETA
JP,BETP
GB,BETX
NL,BEUO
NL,BEUP
NL,BEUT
BH,BFEX
PT,BFPT
GB,BGCB
US,BGCD
US,BGCF
GB,BGCI
GB,BGCO
DE,BGFI
GB,BGFU
DE,BGFX
BG,BGHX
DE,BGSI
GB,BGUK
US,BHSF
PL,BHWA
US,BIDS
ZZ,BILT
LU,BILU
DE,BINV
GB,BISI
MX,BIVA
BE,BKBF
BE,BKBR
IE,BKDM
US,BKKT
GB,BKLF
GB,BKLN
AT,BKSK
DE,BLBB
BA,BLBF
DE,BLBS
DE,BLEQ
AU,BLEV
DE,BLFX
DE,BLIQ
US,BLKX
GB,BLNK
GB,BLOX
BE,BLPX
US,BLTD
GB,BLTX
US,BLUE
LU,BLUX
AU,BLXA
ES,BMCL
GB,BMCM
ES,BMEA
ES,BMEX
GB,BMLB
IE,BMLI
IE,BMLS
GB,BMTF
BE,BMTS
US,BNDD
IT,BNLD
FR,BNPA
BE,BNPF
GB,BNPL
PL,BNPP
FR,BNPS
CA,BNSX
GB,BNTW
US,BNYC
GB,BOAL
GB,BOAT
GB,BOFS
GB,BOSC
US,BOSD
PL,BOSP
GB,BOTC
BW,BOTE
BW,BOTV
CL,BOVA
BR,BOVM
PL,BPKO
GB,BPLC
US,BPOL
FR,BPSX
RO,BRDE
RO,BRDL
RO,BRDS
IT,BREA
GB,BRFQ
GB,BRGA
BR,BRIX
GB,BRNX
ES,BSAB
AZ,BSEX
DE,BSFX
GB,BSLB
IN,BSME
GB,BSPL
US,BSTX
NL,BTAM
SG,BTBS
US,BTEC
GB,BTEE
US,BTEQ
NL,BTFE
GB,BTLX
US,BTNL
NL,BTQE
GB,BTQG
GB,BUYN
VE,BVCA
BR,BVMF
GB,BVUK
UY,BVUR
US,BVUS
US,BYXD
US,BZXD
US,C2OX
ES,CABK
NL,CABV
US,CAES
US,CALH
CA,CAND
CA,CANX
NL,CAPA
ES,CAPI
PL,CAPL
SE,CASI
DE,CATS
NL,CAVD
US,CAVE
GB,CBAL
DE,CBKA
DE,CBKC
DE,CBKD
DE,CBKE
DE,CBKF
DE,CBKG
DE,CBKS
US,CBLC
GB,CBNL
CH,CBOE
SK,CBSK
US,CBSX
US,CBTS
GB,CCEU
KZ,CCEX
CN,CCFX
LU,CCLX
GB,CCML
CH,CCMS
US,CCMX
GB,CCO2
NL,CCRM
NL,CCXE
US,CDED
DE,CDSI
IN,CDSL
US,CECS
NL,CEDX
CZ,CELP
IE,CEPL
GB,CEPU
CZ,CESI
BR,CETI
NL,CEUD
NL,CEUO
NL,CEUX
AU,CFAU
CN,CFBC
HK,CFHK
CY,CFIF
IE,CFIL
JP,CFJP
TW,CFTW
IT,CGCM
IT,CGDB
IT,CGEB
DE,CGEC
DE,CGEE
DE,CGET
IT,CGGD
IT,CGIT
AU,CGMA
GB,CGMC
DE,CGMD
GB,CGMG
HK,CGMH
US,CGMI
GB,CGML
GB,CGMT
GB,CGMU
MX,CGMX
IT,CGND
IT,CGQD
IT,CGQT
IT,CGTR
GB,CHEV
AU,CHIA
CA,CHIC
GB,CHID
JP,CHIJ
GB,CHIO
JP,CHIS
JP,CHIV
GB,CHIX
GB,CIBC
HU,CIBH
GB,CIBP
ES,CIMA
ES,CIMB
ES,CIMD
ES,CIME
ES,CIMV
US,CIOI
US,CISD
JP,CITD
JP,CITX
AU,CLAU
GB,CLCH
HK,CLHK
JP,CLJP
NL,CLMX
PH,CLPH
US,CLST
SG,CLTD
GB,CLVE
ES,CMAP
FR,CMCI
GB,CMEC
GB,CMEE
US,CMES
JP,CMET
GB,CMMT
US,CMSF
NO,CNSI
FR,COAL
US,CODA
US,COHR
MT,COMG
NL,COMM
HU,CONC
US,CORE
CA,COTC
US,CPGX
NL,CPTX
US,CRED
IT,CREM
SE,CRYD
GB,CRYP
SE,CRYX
CH,CSAG
CZ,CSAS
AU,CSAU
GB,CSBX
GB,CSCF
US,CSCL
DE,CSDA
GB,CSEC
GB,CSEU
IE,CSGI
HK,CSHK
GB,CSIN
JP,CSJP
GB,CSLB
ES,CSMD
CZ,CSOB
CH,CSOT
GB,CSSI
CN,CSSX
SE,CSTO
US,CSVW
CH,CSZH
US,CURX
AU,CXAC
AU,CXAF
AU,CXAM
AU,CXAN
AU,CXAP
AU,CXAQ
AU,CXAR
AU,CXAV
AU,CXAW
GB,CXOT
GB,CXRT
GB,DAIW
DE,DAPA
US,DASH
DK,DASI
IE,DAVY
US,DBAB
DE,DBAG
GB,DBCR
GB,DBCX
GB,DBDC
DE,DBES
HK,DBHK
GB,DBIX
GB,DBLN
LU,DBLX
GB,DBMO
DE,DBOX
GB,DBSE
US,DBSX
DK,DCSE
CW,DCSX
IT,DDTX
US,DEAL
DE,DEKA
AE,DEXE
AE,DGCX
FI,DHEL
LU,DHLX
IS,DICE
AE,DIFX
SE,DKED
SE,DKFI
DK,DKTC
DK,DNDK
FI,DNFI
IS,DNIS
SE,DNSE
SE,DOSE
CH,DOTS
ES,DOWE
GB,DOWG
ES,DOWM
JP,DRCT
QA,DSMD
DK,DSME
SE,DSTO
AE,DUMX
DE,DUSA
DE,DUSB
DE,DUSC
DE,DUSD
GB,DVFX
US,DWFI
US,DWSF
DE,DZBK
HU,EBHU
IT,EBMX
SE,EBON
SK,EBRA
CH,EBSC
NL,EBSF
GB,EBSM
NL,EBSN
GB,EBSO
CH,EBSS
DE,ECAG
SG,ECAL
NL,ECEU
DE,ECGS
GB,ECHO
GB,ECSL
IE,EDBT
US,EDDP
US,EDGA
US,EDGD
IE,EDGL
US,EDGO
US,EDGX
FR,EDRF
SG,EEAL
UA,EESE
US,EGMT
AT,EGSI
GB,EIXE
NO,ELEU
GB,ELIX
NO,ELNO
NO,ELSE
NO,ELUK
FR,ELXE
GB,EMBX
IT,EMDR
IT,EMIB
IT,EMID
IT,EMIR
US,EMLD
LU,EMTF
GR,ENAX
GB,ENCL
SG,ENMS
GB,ENSY
PT,ENXL
